venue_id,effective_from_utc,effective_to_utc,available_at_utc,altitude_m,surface_turf,roof_capable,source_url
state-farm-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,328,0,1,https://www.azcardinals.com/cardinals-essentials|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/ARI.pdf|https://epqs.nationalmap.gov/v1/json?x=-112.2626&y=33.5276&units=Meters&wkid=4326&includeDate=False
mercedes-benz-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,320,1,1,https://www.atlantafalcons.com/stadium/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/ATL.pdf|https://epqs.nationalmap.gov/v1/json?x=-84.4009&y=33.7554&units=Meters&wkid=4326&includeDate=False
m-and-t-bank-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,9,0,0,https://www.baltimoreravens.com/news/ravens-switching-to-natural-grass-at-m-t-bank-stadium-16430494|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/BAL.pdf|https://epqs.nationalmap.gov/v1/json?x=-76.6227&y=39.2780&units=Meters&wkid=4326&includeDate=False
highmark-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,183,0,0,https://www.buffalobills.com/stadium/|https://www.buffalobills.com/video/behind-the-scenes-look-at-grass-field-installation-at-new-highmark-stadium|https://epqs.nationalmap.gov/v1/json?x=-78.7890&y=42.7740&units=Meters&wkid=4326&includeDate=False
bank-of-america-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,229,1,0,https://www.bankofamericastadium.com/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/CAR.pdf|https://epqs.nationalmap.gov/v1/json?x=-80.8528&y=35.2258&units=Meters&wkid=4326&includeDate=False
soldier-field,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,181,0,0,https://www.soldierfield.com/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/CHI.pdf|https://epqs.nationalmap.gov/v1/json?x=-87.6167&y=41.8623&units=Meters&wkid=4326&includeDate=False
paycor-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,147,1,0,https://www.bengals.com/stadium/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/CIN.pdf|https://epqs.nationalmap.gov/v1/json?x=-84.5160&y=39.0954&units=Meters&wkid=4326&includeDate=False
huntington-bank-field,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,177,0,0,https://huntingtonbankfield.com/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/CLE.pdf|https://epqs.nationalmap.gov/v1/json?x=-81.6995&y=41.5061&units=Meters&wkid=4326&includeDate=False
att-stadium,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,184,1,1,https://www.dallascowboys.com/stadium/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/DAL.pdf|https://epqs.nationalmap.gov/v1/json?x=-97.0945&y=32.7473&units=Meters&wkid=4326&includeDate=False
empower-field-at-mile-high,2026-01-01T00:00:00Z,,2026-08-29T00:00:00Z,1609,0,0,https://www.denverbroncos.com/stadium/|https://static.www.nfl.com/league/apps/league-site/media-guides/2025/DEN.pdf|https://epqs.nationalmap.gov/v1/json?x=-105.0201&y=39.7439&units=Meters&wkid=4326&includeDate=False
